"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"199150"	"FARMEC SA"	"667619"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"202107"	"SAMUS CONSTRUCTII SA"	"412973"	"7893"	"0"	"28102"	"3453"	"0"	"1303"	"161"	"0"	"11375"	"1397"	"0"
"330904"	"SOCIETATEA ASIGURARE-REASIGURARE ASTRA S.A."	"10040959"	"3833489"	"0"	"11950019"	"5952262"	"0"	"540698"	"283124"	"0"	"1451547"	"19735"	"0"
"336206"	"ZENTIVA S.A."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7138844"	"11318262"	"18457106"
"361218"	"REGIA AUTONOMA DE DISTRIBUTIE A ENERGIEI TERMICE BUCURESTI R.A.D.E.T. RA"	"8758387"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"0"	"0"
"361528"	"BANCA RENASTEREA CREDITULUI ROMANESC CREDIT BANK SA"	"36623"	"16092"	"0"	"971629"	"22"	"0"	"145950"	"0"	"0"	"290002"	"0"	"0"
"361765"	"BANKCOOP - BANCA GENERALA DE CREDIT SI PROMOVARE S.A."	"599510"	"16288337"	"0"	"92544"	"0"	"0"	"3306"	"0"	"0"	"37011"	"0"	"0"
"436787"	"ARSIS TRADING S.R.L."	"1843435"	"0"	"0"	"215618"	"0"	"0"	"10096"	"0"	"0"	"86377"	"0"	"0"
"568656"	"COMELF SA"	"461698"	"0"	"0"	"1155184"	"0"	"0"	"50989"	"0"	"0"	"512061"	"0"	"0"
"526170"	"INFOPRESS GROUP SA"	"485560"	"0"	"0"	"890178"	"0"	"0"	"41232"	"0"	"0"	"366105"	"0"	"0"
"413210"	"BERE BAUTURI BUCURESTI SA"	"9056"	"0"	"0"	"142927"	"0"	"0"	"6783"	"0"	"0"	"57775"	"0"	"0"
"427410"	"COMPANIA NATIONALA POSTA ROMANA S.A."	"5984494"	"0"	"0"	"13184313"	"0"	"0"	"608663"	"0"	"0"	"5295718"	"0"	"0"
"739128"	"ORIENT SRL"	"162529"	"0"	"0"	"39414"	"0"	"0"	"1906"	"0"	"0"	"16850"	"0"	"0"
"785205"	"MOARA CIBIN SA"	"250000"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1126350"	"VIROMET SA"	"3642299"	"1820509"	"0"	"3682173"	"442629"	"0"	"164213"	"19417"	"0"	"1455507"	"159017"	"0"
"1144071"	"AVICOLA BUZAU  SA"	"1472543"	"0"	"0"	"2152816"	"2478"	"0"	"98931"	"93"	"0"	"873956"	"844"	"0"
"970849"	"POPASUL TREBES SRL"	"1622966"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1062303"	"C+C SA"	"5842"	"564"	"0"	"140609"	"1419"	"0"	"6690"	"63"	"0"	"50356"	"597"	"0"
"1088125"	"REMAT BRASOV SA"	"0"	"0"	"0"	"164424"	"0"	"0"	"0"	"0"	"0"	"46085"	"0"	"0"
"1322535"	"NEPTUN SA"	"98360"	"18256"	"0"	"0"	"274"	"0"	"0"	"10"	"0"	"0"	"101"	"0"
"1324099"	"CONFIND SRL"	"115614"	"189"	"0"	"964661"	"760"	"0"	"41824"	"31"	"0"	"389055"	"308"	"0"
