"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"177453"	"STANIA-BAR SRL"	"159410"	"2665"	"0"	"32207"	"558"	"0"	"1522"	"27"	"0"	"13842"	"277"	"0"
"214942"	"MONO CONSTRUCTII S.R.L."	"0"	"0"	"0"	"2672360"	"734094"	"0"	"126226"	"4243"	"0"	"1148319"	"38517"	"0"
"234702"	"ELG MOTORS SRL"	"12382707"	"6520364"	"0"	"5226"	"5"	"0"	"246"	"0"	"0"	"2059"	"1"	"0"
"242403"	"GRUP 4 INSTALATII SA"	"2190905"	"636604"	"0"	"730273"	"97531"	"0"	"16863"	"3808"	"0"	"242472"	"35632"	"0"
"326709"	"SEMPREST S.R.L."	"601149"	"14217"	"0"	"258110"	"5823"	"0"	"12098"	"273"	"0"	"111297"	"2173"	"0"
"326717"	"TIMPURI NOI SA"	"24881"	"32708"	"0"	"41856"	"2115"	"0"	"1133"	"65"	"0"	"20502"	"625"	"0"
"182034"	"EUROCOM - EXPANSION SA"	"45831"	"0"	"0"	"50034"	"0"	"0"	"2308"	"0"	"0"	"19850"	"0"	"0"
"199133"	"FIMARO S.A."	"0"	"0"	"0"	"42558"	"0"	"0"	"0"	"0"	"0"	"11418"	"0"	"0"
"199206"	"CLUJANA S.A."	"137772"	"9767"	"0"	"142947"	"13749"	"0"	"5982"	"593"	"0"	"56267"	"5044"	"0"
"199311"	"I Q MANAGEMENT S.R.L."	"915635"	"48917"	"0"	"81250"	"2580"	"0"	"4076"	"129"	"0"	"37689"	"1173"	"0"
"201373"	"REMARUL 16 FEBRUARIE S.A."	"389941"	"0"	"0"	"180637"	"0"	"0"	"7212"	"0"	"0"	"71820"	"0"	"0"
"201659"	"FLACARA SA"	"296681"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"647"	"SINTOFARM S.A."	"29693"	"0"	"0"	"21060"	"0"	"0"	"847"	"0"	"0"	"8096"	"0"	"0"
"710"	"MOBILUX SA"	"112958"	"0"	"0"	"208882"	"0"	"0"	"9971"	"0"	"0"	"86859"	"0"	"0"
"930"	"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU MECATRONICA SI TEHNICA MASURARII - I.N.C.D.M.T.M. BUCURESTI"	"71163"	"0"	"0"	"141136"	"0"	"0"	"5904"	"0"	"0"	"58929"	"0"	"0"
"5520"	"ALFA - BIT SRL"	"122386"	"748"	"0"	"42421"	"290"	"0"	"1931"	"13"	"0"	"17955"	"128"	"0"
"12382"	"COM-PEC SRL"	"29860"	"0"	"0"	"14218"	"0"	"0"	"671"	"0"	"0"	"6193"	"0"	"0"
"29643"	"HEMAT - ROM SRL"	"301678"	"53832"	"0"	"58924"	"2418"	"0"	"2788"	"90"	"0"	"24852"	"982"	"0"
"29716"	"EXMOBI COMPANY SRL"	"115928"	"547"	"0"	"3718"	"326"	"0"	"164"	"13"	"0"	"1406"	"123"	"0"
"35939"	"EGRETA COMERT SI SERVICII S.R.L."	"491110"	"30476"	"0"	"11114"	"2076"	"0"	"507"	"109"	"0"	"4379"	"1022"	"0"
